m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits
1,9.048652972857244847e-2,0.268105780996,0.778533556695,4.1324822874,-0.2569564796,0.9999391245,438
2,3.248006360894026973e-2,0.256234511532,0.760182783061,3.8565808803,0.2575635287,0.9999759942,443
3,1.655729376356225926e-2,0.253141840328,0.755182686973,3.7856463830,-0.2577407932,0.9999874918,449
4,1.001256273046692569e-2,0.251890981353,0.753132050489,3.7570578973,0.2578164023,0.9999923710,454
5,6.701405056882906927e-3,0.251262609967,0.752095589923,3.7427180099,-0.2578553558,0.9999948723,459
6,4.797543675591622175e-3,0.250902661810,0.751499950704,3.7345101767,0.2578779788,0.9999963202,465
7,3.603250557097398710e-3,0.250677370012,0.751126421120,3.7293752642,-0.2578922567,0.9999972321,470
8,2.805175005266948365e-3,0.250527037024,0.750876862900,3.7259498480,0.2579018354,0.9999978430,475
9,2.245624532274110522e-3,0.250421738056,0.750701915154,3.7235510382,-0.2579085696,0.9999982721,481
10,1.838213503601897380e-3,0.250345122923,0.750574547259,3.7218059229,0.2579134823,0.9999985848,486
11,1.532397753786105595e-3,0.250287642752,0.750478947648,3.7204967955,-0.2579171752,0.9999988198,491
12,1.297004527549051140e-3,0.250243416260,0.750405366465,3.7194896049,0.2579200209,0.9999990008,497
13,1.111960917713157582e-3,0.250208660179,0.750347526414,3.7186981375,-0.2579222598,0.9999991432,502
14,9.638678341106890262e-4,0.250180851072,0.750301237723,3.7180648980,0.2579240528,0.9999992572,507
15,8.435040938771510817e-4,0.250158253397,0.750263617258,3.7175503480,-0.2579255108,0.9999993498,513
16,7.443553477113373004e-4,0.250139641678,0.750232628357,3.7171265721,0.2579267125,0.9999994262,518
17,6.617136778124200949e-4,0.250124130624,0.750206799205,3.7167734057,-0.2579277144,0.9999994898,523
18,5.921081981289138185e-4,0.250111067774,0.750185044766,3.7164759883,0.2579285585,0.9999995435,529
19,5.329345564482051035e-4,0.250099963698,0.750166550923,3.7162231734,-0.2579292764,0.9999995891,534
20,4.822077200721810401e-4,0.250090445441,0.750150697178,3.7160064676,0.2579298919,0.9999996281,539
21,4.383932966465752803e-4,0.250082224773,0.750137003910,3.7158193071,-0.2579304236,0.9999996619,544
22,4.002901187739209060e-4,0.250075076099,0.750125095669,3.7156565547,0.2579308861,0.9999996913,550
23,3.669470302021846206e-4,0.250068820805,0.750114675154,3.7155141431,-0.2579312908,0.9999997170,555
24,3.376029441335416897e-4,0.250063315988,0.750105504481,3.7153888186,0.2579316471,0.9999997396,560
25,3.116430220313455633e-4,0.250058446220,0.750097391479,3.7152779527,-0.2579319623,0.9999997596,566
26,2.885662020262808785e-4,0.250054117440,0.750090179540,3.7151794037,0.2579322426,0.9999997774,571
27,2.679608376559373191e-4,0.250050252381,0.750083740005,3.7150914123,-0.2579324928,0.9999997933,576
28,2.494862118268821420e-4,0.250046787094,0.750077966386,3.7150125225,0.2579327172,0.9999998076,582
29,2.328583607191746761e-4,0.250043668286,0.750072769932,3.7149415210,-0.2579329192,0.9999998204,587
30,2.178390963463437170e-4,0.250040851257,0.750068076200,3.7148773899,0.2579331016,0.9999998320,592
31,2.042274287489750928e-4,0.250038298291,0.750063822375,3.7148192706,-0.2579332670,0.9999998425,598
32,1.918528065296899363e-4,0.250035977386,0.750059955152,3.7147664345,0.2579334173,0.9999998520,603
33,1.805697481860462652e-4,0.250033861243,0.750056429065,3.7147182600,-0.2579335544,0.9999998607,608
34,1.702535465552894821e-4,0.250031926465,0.750053205139,3.7146742145,0.2579336797,0.9999998687,614
35,1.607968080504072902e-4,0.250030152903,0.750050249810,3.7146338391,-0.2579337947,0.9999998760,619
36,1.521066462982798646e-4,0.250028523129,0.750047534050,3.7145967373,0.2579339002,0.9999998827,624
37,1.441023924876601130e-4,0.250027022011,0.750045032647,3.7145625643,-0.2579339975,0.9999998888,630
38,1.367137164909934381e-4,0.250025636353,0.750042723620,3.7145310199,0.2579340873,0.9999998945,635
39,1.298790766462779012e-4,0.250024354611,0.750040587739,3.7145018412,-0.2579341703,0.9999998998,640
40,1.235444341005285354e-4,0.250023166648,0.750038608113,3.7144747974,0.2579342473,0.9999999047,646
41,1.176621813448275138e-4,0.250022063534,0.750036769864,3.7144496853,-0.2579343188,0.9999999092,651
42,1.121902451084190162e-4,0.250021037375,0.750035059845,3.7144263250,0.2579343853,0.9999999134,656
43,1.070913319231331660e-4,0.250020081178,0.750033466400,3.7144045574,-0.2579344473,0.9999999174,662
44,1.023322910043906239e-4,0.250019188723,0.750031979168,3.7143842410,0.2579345051,0.9999999210,667
45,9.788357405348248157e-5,0.250018354468,0.750030588916,3.7143652494,-0.2579345592,0.9999999245,672
46,9.371877548974421072e-5,0.250017573460,0.750029287392,3.7143474701,0.2579346098,0.9999999277,678
47,8.981423971219531545e-5,0.250016841262,0.750028067202,3.7143308019,-0.2579346573,0.9999999307,683
48,8.614872445061893570e-5,0.250016153891,0.750026921708,3.7143151542,0.2579347018,0.9999999335,688
49,8.270311123457016337e-5,0.250015507760,0.750025844936,3.7143004453,-0.2579347437,0.9999999362,694
50,7.946015559147721734e-5,0.250014899634,0.750024831496,3.7142866016,0.2579347831,0.9999999387,699
51,7.640427086342378108e-5,0.250014326591,0.750023876517,3.7142735566,-0.2579348203,0.9999999411,704
52,7.352134056949611012e-5,0.250013785983,0.750022975588,3.7142612499,0.2579348553,0.9999999433,710
53,7.079855508584555624e-5,0.250013275408,0.750022124705,3.7142496269,-0.2579348884,0.9999999454,715
54,6.822426910724881664e-5,0.250012792681,0.750021320230,3.7142386379,0.2579349197,0.9999999474,720
55,6.578787692211138130e-5,0.250012335813,0.750020558847,3.7142282375,-0.2579349493,0.9999999492,726
56,6.347970300137536766e-5,0.250011902990,0.750019837533,3.7142183846,0.2579349774,0.9999999510,731
57,6.129090578955267478e-5,0.250011492554,0.750019153525,3.7142090412,-0.2579350040,0.9999999527,736
58,5.921339290816026173e-5,0.250011102986,0.750018504295,3.7142001730,0.2579350292,0.9999999543,742
59,5.723974625022867013e-5,0.250010732896,0.750017887523,3.7141917481,-0.2579350532,0.9999999558,747
60,5.536315566896133511e-5,0.250010381007,0.750017301082,3.7141837376,0.2579350760,0.9999999573,752
61,5.357736015184309391e-5,0.250010046144,0.750016743015,3.7141761146,-0.2579350977,0.9999999587,758
62,5.187659552984796553e-5,0.250009727226,0.750016211520,3.7141688547,0.2579351184,0.9999999600,763
63,5.025554790501136530e-5,0.250009423257,0.750015704938,3.7141619350,-0.2579351381,0.9999999612,768
64,4.870931209269521066e-5,0.250009133317,0.750015221734,3.7141553347,0.2579351569,0.9999999624,774
65,4.723335447081094613e-5,0.250008856556,0.750014760493,3.7141490345,-0.2579351748,0.9999999636,779
66,4.582347970988579920e-5,0.250008592187,0.750014319903,3.7141430163,0.2579351920,0.9999999646,784
67,4.447580092747777905e-5,0.250008339481,0.750013898750,3.7141372636,-0.2579352084,0.9999999657,790
68,4.318671286997688500e-5,0.250008097761,0.750013495906,3.7141317610,0.2579352240,0.9999999667,795
69,4.195286777585919375e-5,0.250007866401,0.750013110326,3.7141264943,-0.2579352390,0.9999999676,800
70,4.077115361830384798e-5,0.250007644816,0.750012741037,3.7141214501,0.2579352534,0.9999999685,806
71,3.963867446283797177e-5,0.250007432464,0.750012387135,3.7141166160,-0.2579352672,0.9999999694,811
72,3.855273270825861510e-5,0.250007228839,0.750012047775,3.7141119806,0.2579352804,0.9999999703,816
73,3.751081300726238828e-5,0.250007033468,0.750011722173,3.7141075332,-0.2579352930,0.9999999711,822
74,3.651056768763808272e-5,0.250006845912,0.750011409594,3.7141032636,0.2579353052,0.9999999718,827
75,3.554980351608893270e-5,0.250006665759,0.750011109353,3.7140991626,-0.2579353169,0.9999999726,832
76,3.462646966520838024e-5,0.250006492625,0.750010820809,3.7140952213,0.2579353281,0.9999999733,838
77,3.373864676022422847e-5,0.250006326150,0.750010543363,3.7140914316,-0.2579353389,0.9999999740,843
78,3.288453689618086017e-5,0.250006165997,0.750010276452,3.7140877859,0.2579353493,0.9999999746,848
79,3.206245452852705892e-5,0.250006011849,0.750010019549,3.7140842768,-0.2579353593,0.9999999753,854
80,3.127081815085713178e-5,0.250005863411,0.750009772161,3.7140808977,0.2579353689,0.9999999759,859
81,3.050814268301849338e-5,0.250005720403,0.750009533824,3.7140776423,-0.2579353782,0.9999999765,864
82,2.977303250112407705e-5,0.250005582564,0.750009304100,3.7140745045,0.2579353871,0.9999999770,869
83,2.906417504834237287e-5,0.250005449647,0.750009082581,3.7140714787,-0.2579353957,0.9999999776,875
84,2.838033497180930938e-5,0.250005321422,0.750008868880,3.7140685598,0.2579354040,0.9999999781,880
85,2.772034873672539577e-5,0.250005197669,0.750008662633,3.7140657427,-0.2579354121,0.9999999786,885
86,2.708311967376339992e-5,0.250005078184,0.750008463498,3.7140630227,0.2579354198,0.9999999791,891
87,2.646761342039845663e-5,0.250004962772,0.750008271151,3.7140603954,-0.2579354273,0.9999999796,896
88,2.587285372075528902e-5,0.250004851251,0.750008085288,3.7140578567,0.2579354345,0.9999999800,901
89,2.529791855210720815e-5,0.250004743446,0.750007905620,3.7140554027,-0.2579354415,0.9999999805,907
90,2.474193654931291402e-5,0.250004639196,0.750007731874,3.7140530295,0.2579354483,0.9999999809,912
91,2.420408370128575770e-5,0.250004538345,0.750007563794,3.7140507337,-0.2579354548,0.9999999813,917
92,2.368358029609679915e-5,0.250004440747,0.750007401136,3.7140485120,0.2579354611,0.9999999817,923
93,2.317968809355318798e-5,0.250004346264,0.750007243669,3.7140463612,-0.2579354673,0.9999999821,928
94,2.269170770609757877e-5,0.250004254765,0.750007091175,3.7140442782,0.2579354732,0.9999999825,933
95,2.221897617066997591e-5,0.250004166125,0.750006943445,3.7140422604,-0.2579354789,0.9999999829,939
96,2.176086469578370012e-5,0.250004080226,0.750006800285,3.7140403050,0.2579354845,0.9999999832,944
97,2.131677656951346439e-5,0.250003996957,0.750006661507,3.7140384095,-0.2579354899,0.9999999836,949
98,2.088614521539350867e-5,0.250003916211,0.750006526934,3.7140365714,0.2579354951,0.9999999839,955
99,2.046843238439386792e-5,0.250003837888,0.750006396398,3.7140347884,-0.2579355002,0.9999999842,960
100,2.006312647219716017e-5,0.250003761891,0.750006269740,3.7140330584,0.2579355051,0.9999999845,965
101,1.966974095194900799e-5,0.250003688129,0.750006146806,3.7140313793,-0.2579355099,0.9999999848,971
102,1.928781291351396938e-5,0.250003616515,0.750006027453,3.7140297491,0.2579355146,0.9999999851,976
103,1.891690170104481082e-5,0.250003546968,0.750005911543,3.7140281659,-0.2579355191,0.9999999854,981
104,1.855658764137502710e-5,0.250003479407,0.750005798944,3.7140266279,0.2579355235,0.9999999857,987
105,1.820647085638055945e-5,0.250003413758,0.750005689533,3.7140251335,-0.2579355277,0.9999999860,992
106,1.786617015303298492e-5,0.250003349950,0.750005583188,3.7140236809,0.2579355319,0.9999999862,997
107,1.753532198538963524e-5,0.250003287915,0.750005479798,3.7140222687,-0.2579355359,0.9999999865,1003
108,1.721357948324124434e-5,0.250003227586,0.750005379253,3.7140208954,0.2579355398,0.9999999867,1008
109,1.690061154256952819e-5,0.250003168903,0.750005281450,3.7140195596,-0.2579355436,0.9999999870,1013
110,1.659610197336026902e-5,0.250003111806,0.750005186290,3.7140182598,0.2579355473,0.9999999872,1019
111,1.629974870067525301e-5,0.250003056239,0.750005093680,3.7140169949,-0.2579355509,0.9999999874,1024
112,1.601126301521282603e-5,0.250003002147,0.750005003528,3.7140157635,0.2579355544,0.9999999876,1029
113,1.573036886988428697e-5,0.250002949478,0.750004915748,3.7140145645,-0.2579355578,0.9999999879,1035
114,1.545680221920528233e-5,0.250002898183,0.750004830258,3.7140133969,0.2579355612,0.9999999881,1040
115,1.519031039854954723e-5,0.250002848214,0.750004746979,3.7140122594,-0.2579355644,0.9999999883,1045
116,1.493065154053953036e-5,0.250002799527,0.750004665836,3.7140111511,0.2579355675,0.9999999885,1051
117,1.467759402605630060e-5,0.250002752078,0.750004586755,3.7140100709,-0.2579355706,0.9999999887,1056
118,1.443091596754146854e-5,0.250002705825,0.750004509668,3.7140090180,0.2579355736,0.9999999889,1061
119,1.419040472243847305e-5,0.250002660728,0.750004434508,3.7140079914,-0.2579355765,0.9999999891,1067
120,1.395585643478062198e-5,0.250002616749,0.750004361211,3.7140069903,0.2579355794,0.9999999892,1072
121,1.372707560308031222e-5,0.250002573852,0.750004289717,3.7140060138,-0.2579355822,0.9999999894,1077
122,1.350387467280883941e-5,0.250002532001,0.750004219967,3.7140050611,0.2579355849,0.9999999896,1083
123,1.328607365188041110e-5,0.250002491163,0.750004151904,3.7140041314,-0.2579355875,0.9999999897,1088
124,1.307349974766814583e-5,0.250002451304,0.750004085474,3.7140032241,0.2579355901,0.9999999899,1093
125,1.286598702418502469e-5,0.250002412395,0.750004020626,3.7140023383,-0.2579355926,0.9999999901,1099
126,1.266337607815960515e-5,0.250002374405,0.750003957310,3.7140014735,0.2579355951,0.9999999902,1104
127,1.246551373282564342e-5,0.250002337305,0.750003895478,3.7140006290,-0.2579355975,0.9999999904,1109
128,1.227225274832712531e-5,0.250002301068,0.750003835084,3.7139998041,0.2579355999,0.9999999905,1115
129,1.208345154771627743e-5,0.250002265667,0.750003776083,3.7139989982,-0.2579356022,0.9999999907,1120
130,1.189897395759233628e-5,0.250002231077,0.750003718434,3.7139982108,0.2579356044,0.9999999908,1125
131,1.171868896249380974e-5,0.250002197273,0.750003662095,3.7139974413,-0.2579356066,0.9999999910,1131
132,1.154247047221699000e-5,0.250002164231,0.750003607026,3.7139966891,0.2579356087,0.9999999911,1136
133,1.137019710128902158e-5,0.250002131929,0.750003553191,3.7139959538,-0.2579356108,0.9999999912,1141
134,1.120175195987528399e-5,0.250002100345,0.750003500551,3.7139952348,0.2579356129,0.9999999914,1147
135,1.103702245544852786e-5,0.250002069458,0.750003449073,3.7139945317,-0.2579356149,0.9999999915,1152
136,1.087590010459133560e-5,0.250002039247,0.750003398722,3.7139938440,0.2579356168,0.9999999916,1157
137,1.071828035434452137e-5,0.250002009693,0.750003349466,3.7139931712,-0.2579356188,0.9999999917,1163
138,1.056406241255205777e-5,0.250001980777,0.750003301273,3.7139925130,0.2579356206,0.9999999918,1168
139,1.041314908668848517e-5,0.250001952480,0.750003254112,3.7139918688,-0.2579356225,0.9999999920,1173
140,1.026544663068752474e-5,0.250001924786,0.750003207955,3.7139912384,0.2579356243,0.9999999921,1179
141,1.012086459932115335e-5,0.250001897676,0.750003162773,3.7139906212,-0.2579356260,0.9999999922,1184
142,9.979315709706748646e-6,0.250001871135,0.750003118539,3.7139900171,0.2579356277,0.9999999923,1189
143,9.840715709546311464e-6,0.250001845147,0.750003075227,3.7139894255,-0.2579356294,0.9999999924,1195
144,9.704983251726358447e-6,0.250001819697,0.750003032810,3.7139888461,0.2579356311,0.9999999925,1200
145,9.572039774929961360e-6,0.250001794770,0.750002991265,3.7139882787,-0.2579356327,0.9999999926,1205
146,9.441809389933763225e-6,0.250001770351,0.750002950568,3.7139877228,0.2579356343,0.9999999927,1210
147,9.314218771282666034e-6,0.250001746428,0.750002910696,3.7139871782,-0.2579356358,0.9999999928,1216
148,9.189197054053487322e-6,0.250001722986,0.750002871627,3.7139866446,0.2579356374,0.9999999929,1221
149,9.066675735436169150e-6,0.250001700013,0.750002833339,3.7139861216,-0.2579356388,0.9999999930,1226
150,8.946588580877323375e-6,0.250001677496,0.750002795811,3.7139856091,0.2579356403,0.9999999931,1232
151,8.828871534545977689e-6,0.250001655424,0.750002759025,3.7139851066,-0.2579356417,0.9999999932,1237
152,8.713462633895562815e-6,0.250001633785,0.750002722959,3.7139846140,0.2579356431,0.9999999933,1242
153,8.600301928109327240e-6,0.250001612567,0.750002687597,3.7139841310,-0.2579356445,0.9999999934,1248
154,8.489331400228766400e-6,0.250001591759,0.750002652918,3.7139836573,0.2579356459,0.9999999934,1253
155,8.380494892776194901e-6,0.250001571352,0.750002618907,3.7139831928,-0.2579356472,0.9999999935,1258
156,8.273738036693429021e-6,0.250001551335,0.750002585545,3.7139827371,0.2579356485,0.9999999936,1264
157,8.169008183428655195e-6,0.250001531698,0.750002552817,3.7139822901,-0.2579356498,0.9999999937,1269
158,8.066254340013133382e-6,0.250001512431,0.750002520707,3.7139818515,0.2579356510,0.9999999938,1274
159,7.965427106978195015e-6,0.250001493526,0.750002489198,3.7139814212,-0.2579356522,0.9999999939,1280
160,7.866478618971458836e-6,0.250001474973,0.750002458277,3.7139809988,0.2579356534,0.9999999939,1285
161,7.769362487938931441e-6,0.250001456764,0.750002427928,3.7139805843,-0.2579356546,0.9999999940,1290
162,7.674033748747091264e-6,0.250001438889,0.750002398137,3.7139801774,0.2579356558,0.9999999941,1296
163,7.580448807125914836e-6,0.250001421342,0.750002368892,3.7139797780,-0.2579356569,0.9999999942,1301
164,7.488565389820343247e-6,0.250001404114,0.750002340178,3.7139793858,0.2579356580,0.9999999942,1306
165,7.398342496843726933e-6,0.250001387197,0.750002311984,3.7139790007,-0.2579356591,0.9999999943,1312
166,7.309740355732591634e-6,0.250001370584,0.750002284296,3.7139786225,0.2579356602,0.9999999944,1317
167,7.222720377707404665e-6,0.250001354267,0.750002257102,3.7139782511,-0.2579356613,0.9999999944,1322
168,7.137245115649127408e-6,0.250001338240,0.750002230391,3.7139778862,0.2579356623,0.9999999945,1328
169,7.053278223806104499e-6,0.250001322496,0.750002204151,3.7139775278,-0.2579356633,0.9999999946,1333
170,6.970784419150348081e-6,0.250001307029,0.750002178372,3.7139771757,0.2579356643,0.9999999946,1338
171,6.889729444306486115e-6,0.250001291831,0.750002153042,3.7139768298,-0.2579356653,0.9999999947,1344
172,6.810080031980675594e-6,0.250001276896,0.750002128151,3.7139764898,0.2579356663,0.9999999947,1349
173,6.731803870820494059e-6,0.250001262219,0.750002103690,3.7139761557,-0.2579356672,0.9999999948,1354
174,6.654869572640416799e-6,0.250001247794,0.750002079648,3.7139758273,0.2579356682,0.9999999949,1360
175,6.579246640950787955e-6,0.250001233615,0.750002056016,3.7139755045,-0.2579356691,0.9999999949,1365
176,6.504905440731395594e-6,0.250001219676,0.750002032784,3.7139751872,0.2579356700,0.9999999950,1370
177,6.431817169393688108e-6,0.250001205971,0.750002009944,3.7139748753,-0.2579356709,0.9999999950,1376
178,6.359953828878535690e-6,0.250001192497,0.750001987487,3.7139745685,0.2579356718,0.9999999951,1381
179,6.289288198839050336e-6,0.250001179247,0.750001965404,3.7139742669,-0.2579356726,0.9999999951,1386
180,6.219793810860514676e-6,0.250001166217,0.750001943687,3.7139739703,0.2579356735,0.9999999952,1392
181,6.151444923671833177e-6,0.250001153401,0.750001922328,3.7139736785,-0.2579356743,0.9999999953,1397
182,6.084216499305160502e-6,0.250001140796,0.750001901319,3.7139733916,0.2579356751,0.9999999953,1402
183,6.018084180162486148e-6,0.250001128396,0.750001880652,3.7139731093,-0.2579356759,0.9999999954,1408
184,5.953024266949946757e-6,0.250001116197,0.750001860321,3.7139728316,0.2579356767,0.9999999954,1413
185,5.889013697442561050e-6,0.250001104195,0.750001840318,3.7139725584,-0.2579356775,0.9999999955,1418
186,5.826030026043841651e-6,0.250001092385,0.750001820635,3.7139722896,0.2579356782,0.9999999955,1424
187,5.764051404106483806e-6,0.250001080764,0.750001801267,3.7139720250,-0.2579356790,0.9999999956,1429
188,5.703056560981893772e-6,0.250001069328,0.750001782206,3.7139717647,0.2579356797,0.9999999956,1434
189,5.643024785767885794e-6,0.250001058071,0.750001763446,3.7139715085,-0.2579356805,0.9999999956,1440
190,5.583935909725297949e-6,0.250001046992,0.750001744981,3.7139712563,0.2579356812,0.9999999957,1445
191,5.525770289335658620e-6,0.250001036086,0.750001726804,3.7139710080,-0.2579356819,0.9999999957,1450
192,5.468508789973327086e-6,0.250001025349,0.750001708910,3.7139707636,0.2579356826,0.9999999958,1456
193,5.412132770166780258e-6,0.250001014779,0.750001691292,3.7139705230,-0.2579356833,0.9999999958,1461
194,5.356624066424864465e-6,0.250001004371,0.750001673946,3.7139702860,0.2579356840,0.9999999959,1466
195,5.301964978604956889e-6,0.250000994122,0.750001656865,3.7139700527,-0.2579356846,0.9999999959,1472
196,5.248138255801036681e-6,0.250000984030,0.750001640044,3.7139698230,0.2579356853,0.9999999960,1477
197,5.195127082730648307e-6,0.250000974090,0.750001623478,3.7139695967,-0.2579356859,0.9999999960,1482
198,5.142915066600711259e-6,0.250000964300,0.750001607162,3.7139693739,0.2579356865,0.9999999960,1488
199,5.091486224433017093e-6,0.250000954657,0.750001591090,3.7139691543,-0.2579356872,0.9999999961,1493
200,5.040824970831123795e-6,0.250000945158,0.750001575259,3.7139689381,0.2579356878,0.9999999961,1498
