m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
101,1.966974095194900799e-5,0.250003688129,0.750006146806,3.7140313793,-0.2579355099,0.9999999848,971,-2.5793550993089869162069437232059303548913026e-1,9.9999998482309799299893898284049839181617106e-1,1.9669740951949007287274095145164196892491831e-5
102,1.928781291351396938e-5,0.250003616515,0.750006027453,3.7140297491,0.2579355146,0.9999999851,976,2.5793551457425581785799002327231584635049477e-1,9.9999998511778143009478444252690752541890960e-1,1.9287812913513969576368218538357099638663417e-5
103,1.891690170104481082e-5,0.250003546968,0.750005911543,3.7140281659,-0.2579355191,0.9999999854,981,-2.5793551908368089205672555258683722955417362e-1,9.9999998540396490233519271128981742294049380e-1,1.8916901701044809291437128944529666490403175e-5
104,1.855658764137502710e-5,0.250003479407,0.750005798944,3.7140266279,0.2579355235,0.9999999857,987,2.5793552346427557408264999302442950198911124e-1,9.9999998568197219354911617550089532963360739e-1,1.8556587641375026729782261083383673556100146e-5
105,1.820647085638055945e-5,0.250003413758,0.750005689533,3.7140251335,-0.2579355277,0.9999999860,992,-2.5793552772090090812140166698103832490383222e-1,9.9999998595211181610245050299017635921856761e-1,1.8206470856380560791982409367672046541457581e-5
106,1.786617015303298492e-5,0.250003349950,0.750005583188,3.7140236809,0.2579355319,0.9999999862,997,2.5793553185819081329863687514776852740424356e-1,9.9999998621467786715409907810348375047456123e-1,1.7866170153032983957200350218576604443639525e-5
107,1.753532198538963524e-5,0.250003287915,0.750005479798,3.7140222687,-0.2579355359,0.9999999865,1003,-2.5793553588056470004306806046659646699341606e-1,9.9999998646995082942036168133715808227332506e-1,1.7535321985389634781008000094081356490495361e-5
108,1.721357948324124434e-5,0.250003227586,0.750005379253,3.7140208954,0.2579355398,0.9999999867,1008,2.5793553979223927634708220454542400514378944e-1,9.9999998671819832051990963533459971688893493e-1,1.7213579483241243192023328634087346478996210e-5
109,1.690061154256952819e-5,0.250003168903,0.750005281450,3.7140195596,-0.2579355436,0.9999999870,1013,-2.5793554359723960283157667359070719073293458e-1,9.9999998695967579463847128928968007559237629e-1,1.6900611542569528799202219704902432911403995e-5
110,1.659610197336026902e-5,0.250003111806,0.750005186290,3.7140182598,0.2579355473,0.9999999872,1019,2.5793554729940945074631574037013958275756515e-1,9.9999998719462719994922125918002271303941741e-1,1.6596101973360268097317731618942869546797460e-5
111,1.629974870067525301e-5,0.250003056239,0.750005093680,3.7140169949,-0.2579355509,0.9999999874,1024,-2.5793555090242101268806089204071826216957554e-1,9.9999998742328559494879756065565908210554856e-1,1.6299748700675254013017073193310121643344034e-5
112,1.601126301521282603e-5,0.250003002147,0.750005003528,3.7140157635,0.2579355544,0.9999999876,1029,2.5793555440978401185447405905164672257829333e-1,9.9999998764587372661722881506861436478031325e-1,1.6011263015212826056972530788590185320727977e-5
113,1.573036886988428697e-5,0.250002949478,0.750004915748,3.7140145645,-0.2579355578,0.9999999879,1035,-2.5793555782485425203521346115951228822500081e-1,9.9999998786260457308048242693741045837507669e-1,1.5730368869884287343724849984297364304591298e-5
114,1.545680221920528233e-5,0.250002898183,0.750004830258,3.7140133969,0.2579355612,0.9999999881,1040,2.5793556115084164723948794016063339186244721e-1,9.9999998807368185324473324276105467112001169e-1,1.5456802219205282963869926699300430129904230e-5
115,1.519031039854954723e-5,0.250002848214,0.750004746979,3.7140122594,-0.2579355644,0.9999999883,1045,-2.5793556439081776684179729295567766436626487e-1,9.9999998827930050567990824654355517102903748e-1,1.5190310398549546576729638922763684051669878e-5
116,1.493065154053953036e-5,0.250002799527,0.750004665836,3.7140111511,0.2579355675,0.9999999885,1051,2.5793556754772292936790987455848026943397463e-1,9.9999998847964713885488793348913589284806417e-1,1.4930651540539530903621935439599034649467812e-5
117,1.467759402605630060e-5,0.250002752078,0.750004586755,3.7140100709,-0.2579355706,0.9999999887,1056,-2.5793557062437287551728134777126377240564238e-1,9.9999998867490045466641342718422203165930222e-1,1.4677594026056301368431468321538171365679457e-5
118,1.443091596754146854e-5,0.250002705825,0.750004509668,3.7140090180,0.2579355736,0.9999999889,1061,2.5793557362346504870448966535962552758015530e-1,9.9999998886523164705688829246601450915599691e-1,1.4430915967541469299794284685235984920351191e-5
119,1.419040472243847305e-5,0.250002660728,0.750004434508,3.7140079914,-0.2579355765,0.9999999891,1067,-2.5793557654758450928140151015776532450339289e-1,9.9999998905080477738164063759963405839685338e-1,1.4190404722438472853082322053189745034827080e-5
120,1.395585643478062198e-5,0.250002616749,0.750004361211,3.7140069903,0.2579355794,0.9999999892,1072,2.5793557939920950665617331762662968351853694e-1,9.9999998923177712806271221865367664295533811e-1,1.3955856434780622343148254644446089288288342e-5
121,1.372707560308031222e-5,0.250002573852,0.750004289717,3.7140060138,-0.2579355822,0.9999999894,1077,-2.5793558218071673173902754202673238008688982e-1,9.9999998940829953595286396728195505284862874e-1,1.3727075603080312366506532730825061291715897e-5
122,1.350387467280883941e-5,0.250002532001,0.750004219967,3.7140050611,0.2579355849,0.9999999896,1083,2.5793558489438627050377485653172498286241707e-1,9.9999998958051670672932660010622453953001981e-1,1.3503874672808839444466580508080306899438219e-5
123,1.328607365188041110e-5,0.250002491163,0.750004151904,3.7140041314,-0.2579355875,0.9999999897,1088,-2.5793558754240627794539781098608636532316533e-1,9.9999998974856751154106324698502232890516185e-1,1.3286073651880410889416124637899242111893689e-5
124,1.307349974766814583e-5,0.250002451304,0.750004085474,3.7140032241,0.2579355901,0.9999999899,1093,2.5793559012687739032602944303695354309595453e-1,9.9999998991258526704520933762220913263812500e-1,1.3073499747668146389313961800614908340337719e-5
125,1.286598702418502469e-5,0.250002412395,0.750004020626,3.7140023383,-0.2579355926,0.9999999901,1099,-2.5793559264981689232381830590371800105259275e-1,9.9999999007269799988724466509957345797120128e-1,1.2865987024185025373521344606722868393271805e-5
126,1.266337607815960515e-5,0.250002374405,0.750003957310,3.7140014735,0.2579355951,0.9999999902,1104,2.5793559511316265452193127018139357206182553e-1,9.9999999022902869660472812535174308998613091e-1,1.2663376078159605608105140951602947873504986e-5
127,1.246551373282564342e-5,0.250002337305,0.750003895478,3.7140006290,-0.2579355975,0.9999999904,1109,-2.5793559751877685558966324072144779699295312e-1,9.9999999038169553986553839332725995903195355e-1,1.2465513732825643119626336531494484237566345e-5
128,1.227225274832712531e-5,0.250002301068,0.750003835084,3.7139998041,0.2579355999,0.9999999905,1115,2.5793559986844950250645851869445014295407055e-1,9.9999999053081213188801605649736646991320028e-1,1.2272252748327125735147171382996090407078817e-5
129,1.208345154771627743e-5,0.250002265667,0.750003776083,3.7139989982,-0.2579356022,0.9999999907,1120,-2.5793560216390176125548542226387490570134109e-1,9.9999999067648770583174273532959185044286160e-1,1.2083451547716277964971044220708629588473606e-5
130,1.189897395759233628e-5,0.250002231077,0.750003718434,3.7139982108,0.2579356044,0.9999999908,1125,2.5793560440678910955977922717115744970328958e-1,9.9999999081882732589351010543462605966531447e-1,1.1898973957592335706056683378214840717430102e-5
131,1.171868896249380974e-5,0.250002197273,0.750003662095,3.7139974413,-0.2579356066,0.9999999910,1131,-2.5793560659870432244500137388119653711963243e-1,9.9999999095793207679295342629941629460710525e-1,1.1718688962493809004391696072772831888280224e-5
132,1.154247047221699000e-5,0.250002164231,0.750003607026,3.7139966891,0.2579356087,0.9999999911,1136,2.5793560874118030068320826191324092193465175e-1,9.9999999109389924328601076213906664958842895e-1,1.1542470472216989941045878964799610835602108e-5
133,1.137019710128902158e-5,0.250002131929,0.750003553191,3.7139959538,-0.2579356108,0.9999999912,1141,-2.5793561083569275149681261792912917814896057e-1,9.9999999122682248030151152833196699943070823e-1,1.1370197101289021250599926703609678947442854e-5
134,1.120175195987528399e-5,0.250002100345,0.750003500551,3.7139952348,0.2579356129,0.9999999914,1147,2.5793561288366273027671884365088968781324476e-1,9.9999999135679197425651475442510172293663454e-1,1.1201751959875284582263366446246920417663285e-5
135,1.103702245544852786e-5,0.250002069458,0.750003449073,3.7139945317,-0.2579356149,0.9999999915,1152,-2.5793561488645905148937669267497601362411714e-1,9.9999999148389459606925180444216953410625492e-1,1.1037022455448528205824455963987495773534593e-5
136,1.087590010459133560e-5,0.250002039247,0.750003398722,3.7139938440,0.2579356168,0.9999999916,1157,2.5793561684540057641053504492663825795989217e-1,9.9999999160821404635444600336916211595848284e-1,1.0875900104591336127645923224400781221541531e-5
137,1.071828035434452137e-5,0.250002009693,0.750003349466,3.7139931712,-0.2579356188,0.9999999917,1163,-2.5793561876175838482542022080281814437497631e-1,9.9999999172983099325416881719567586685088963e-1,1.0718280354344521291719557020424791751473776e-5
138,1.056406241255205777e-5,0.250001980777,0.750003301273,3.7139925130,0.2579356206,0.9999999918,1168,2.5793562063675783737283280456308633890981396e-1,9.9999999184882320332805351603424809242740883e-1,1.0564062412552058136693728851180457280660147e-5
139,1.041314908668848517e-5,0.250001952480,0.750003254112,3.7139918688,-0.2579356225,0.9999999920,1173,-2.5793562247158053478143875180763561142261056e-1,9.9999999196526566589944395616098399736414076e-1,1.0413149086688485887559456419482804381568629e-5
140,1.026544663068752474e-5,0.250001924786,0.750003207955,3.7139912384,0.2579356243,0.9999999921,1179,2.5793562426736617984774956528203758532532360e-1,9.9999999207923071122874479122523371200743446e-1,1.0265446630687525494331646856545803986121227e-5
141,1.012086459932115335e-5,0.250001897676,0.750003162773,3.7139906212,-0.2579356260,0.9999999922,1184,-2.5793562602521434763458504307698992554554093e-1,9.9999999219078812286171042094773790968413702e-1,1.0120864599321154096335387737347713326215490e-5
142,9.979315709706748646e-6,0.250001871135,0.750003118539,3.7139900171,0.2579356277,0.9999999923,1189,2.5793562774618616902403084290225302900588351e-1,9.9999999230000524447852621916585988309918620e-1,9.9793157097067490169192918340404352334263605e-6
143,9.840715709546311464e-6,0.250001845147,0.750003075227,3.7139894255,-0.2579356294,0.9999999924,1195,-2.5793562943130593243806212344052183628820927e-1,9.9999999240694708154917138669152790977407696e-1,9.8407157095463114970473161526441634660801301e-6
144,9.704983251726358447e-6,0.250001819697,0.750003032810,3.7139888461,0.2579356311,0.9999999925,1200,2.5793563108156260824128789446953270449149876e-1,9.9999999251167639808159288152564152756696846e-1,9.7049832517263580926121081928001519833830618e-6
145,9.572039774929961360e-6,0.250001794770,0.750002991265,3.7139882787,-0.2579356327,0.9999999926,1205,-2.5793563269791130006201174050266395867799855e-1,9.9999999261425380873155849591113254190021722e-1,9.5720397749299620430765290648371535545557727e-6
146,9.441809389933763225e-6,0.250001770351,0.750002950568,3.7139877228,0.2579356343,0.9999999927,1210,2.5793563428127462700847262498441596892023813e-1,9.9999999271473786652659711822608121973389928e-1,9.4418093899337639261413430055300664886673719e-6
147,9.314218771282666034e-6,0.250001746428,0.750002910696,3.7139871782,-0.2579356358,0.9999999928,1216,-2.5793563583254404051531797072535295621543441e-1,9.9999999281318514644108625644375216494327209e-1,9.3142187712826662902076512359775883837215602e-6
148,9.189197054053487322e-6,0.250001722986,0.750002871627,3.7139866446,0.2579356374,0.9999999929,1221,2.5793563735258107932977684958735180500466361e-1,9.9999999290965032504522891717566816830624683e-1,9.1891970540534871277593532148560905112837046e-6
149,9.066675735436169150e-6,0.250001700013,0.750002833339,3.7139861216,-0.2579356388,0.9999999930,1226,-2.5793563884221856593645405300356281912332931e-1,9.9999999300418625643729840521234857618657146e-1,9.0666757354361699292040054757485308782438197e-6
150,8.946588580877323375e-6,0.250001677496,0.750002795811,3.7139856091,0.2579356403,0.9999999931,1232,2.5793564030226174752306075249223948315041809e-1,9.9999999309684404465605100943256256082646376e-1,8.9465885808773237683296188596374804564397140e-6
151,8.828871534545977689e-6,0.250001655424,0.750002759025,3.7139851066,-0.2579356417,0.9999999932,1237,-2.5793564173348938440572555385163048488591336e-1,9.9999999318767311275854883659235900414311309e-1,8.8288715345459784323035992579426986844349578e-6
152,8.713462633895562815e-6,0.250001633785,0.750002722959,3.7139846140,0.2579356431,0.9999999933,1242,2.5793564313665478866086127306274267177454892e-1,9.9999999327672126873773923136585879402383324e-1,8.7134626338955635253252615161717974616361936e-6
153,8.600301928109327240e-6,0.250001612567,0.750002687597,3.7139841310,-0.2579356445,0.9999999934,1248,-2.5793564451248681555004042620792967934801705e-1,9.9999999336403476844394886365171239082753025e-1,8.6003019281093272888114329549579340454340587e-6
154,8.489331400228766400e-6,0.250001591759,0.750002652918,3.7139836573,0.2579356459,0.9999999934,1253,2.5793564586169081017416530275828195209760283e-1,9.9999999344965837566491946956527369431298960e-1,8.4893314002287656743502285582885806478796795e-6
155,8.380494892776194901e-6,0.250001571352,0.750002618907,3.7139831928,-0.2579356472,0.9999999935,1258,-2.5793564718494951165267648740508614721273460e-1,9.9999999353363541951009205911124450586321068e-1,8.3804948927761950545191119755488437919051190e-6
156,8.273738036693429021e-6,0.250001551335,0.750002585545,3.7139827371,0.2579356485,0.9999999936,1264,2.5793564848292391699195251292144021080698397e-1,9.9999999361600784923649435139573460229930642e-1,8.2737380366934283453583873693512513844898510e-6
157,8.169008183428655195e-6,0.250001531698,0.750002552817,3.7139822901,-0.2579356498,0.9999999937,1269,-2.5793564975625410668378987446581020427035707e-1,9.9999999369681628664576271784858641314512486e-1,8.1690081834286555133307879604655781827313852e-6
158,8.066254340013133382e-6,0.250001512431,0.750002520707,3.7139818515,0.2579356510,0.9999999938,1274,2.5793565100556003395934084365979714037745571e-1,9.9999999377610007617449844035608233431569767e-1,8.0662543400131328501844541074617939551233906e-6
159,7.965427106978195015e-6,0.250001493526,0.750002489198,3.7139814212,-0.2579356522,0.9999999939,1280,-2.5793565223144227951559351839978888681835399e-1,9.9999999385389733279328480165469087413015259e-1,7.9654271069781948675320655814321602336646564e-6
160,7.866478618971458836e-6,0.250001474973,0.750002458277,3.7139809988,0.2579356534,0.9999999939,1285,2.5793565343448277342991117394288355413779224e-1,9.9999999393024498782324511775219229881231036e-1,7.8664786189714587675161239276334116614812138e-6
161,7.769362487938931441e-6,0.250001456764,0.750002427928,3.7139805843,-0.2579356546,0.9999999940,1290,-2.5793565461524548588284961069952589988362612e-1,9.9999999400517883277297331294390441982595211e-1,7.7693624879389317593214559946835236292705696e-6
162,7.674033748747091264e-6,0.250001438889,0.750002398137,3.7139801774,0.2579356558,0.9999999941,1296,2.5793565577427708822001880606112079188845683e-1,9.9999999407873356129299117718336424486441592e-1,7.6740337487470908202185854859330243319509725e-6
163,7.580448807125914836e-6,0.250001421342,0.750002368892,3.7139797780,-0.2579356569,0.9999999942,1301,-2.5793565691210758579975670236017929814055402e-1,9.9999999415094280933955514762664259280254382e-1,7.5804488071259151042435340426213991094181766e-6
164,7.488565389820343247e-6,0.250001404114,0.750002340178,3.7139793858,0.2579356580,0.9999999942,1306,2.5793565802925092399447484261455251567694796e-1,9.9999999422183919363462724528557771799917074e-1,7.4885653898203429954217757075517194882256017e-6
165,7.398342496843726933e-6,0.250001387197,0.750002311984,3.7139790007,-0.2579356591,0.9999999943,1312,-2.5793565912620556863938052046350534768535797e-1,9.9999999429145434850411826608379080954941956e-1,7.3983424968437265371424230346916562023130165e-6
166,7.309740355732591634e-6,0.250001370584,0.750002284296,3.7139786225,0.2579356602,0.9999999944,1317,2.5793566020345506215256509418599355623614471e-1,9.9999999435981896117208660356152895946623531e-1,7.3097403557325914023550616748266805737705063e-6
167,7.222720377707404665e-6,0.250001354267,0.750002257102,3.7139782511,-0.2579356613,0.9999999944,1322,-2.5793566126146855648488243856132490083842124e-1,9.9999999442696280558441471752259416962266532e-1,7.2227203777074046184183097952719377693807980e-6
168,7.137245115649127408e-6,0.250001338240,0.750002230391,3.7139778862,0.2579356623,0.9999999945,1328,2.5793566230070132399635512272106280288009689e-1,9.9999999449291477483157011855422352599208892e-1,7.1372451156491271451624861342073479310875395e-6
169,7.053278223806104499e-6,0.250001322496,0.750002204151,3.7139775278,-0.2579356633,0.9999999946,1333,-2.5793566332159524729778781758820225149924018e-1,9.9999999455770291223637288190029484578043972e-1,7.0532782238061047761489421448770283353612904e-6
170,6.970784419150348081e-6,0.250001307029,0.750002178372,3.7139771757,0.2579356643,0.9999999946,1338,2.5793566432457928904160427507312396553695527e-1,9.9999999462135444116922232280966317252223285e-1,6.9707844191503478931783025368729924221863042e-6
171,6.889729444306486115e-6,0.250001291831,0.750002153042,3.7139768298,-0.2579356653,0.9999999947,1344,-2.5793566531006994259443888553030281132230625e-1,9.9999999468389579364996777977077414371746308e-1,6.8897294443064862151584607524357263269457217e-6
172,6.810080031980675594e-6,0.250001276896,0.750002128151,3.7139764898,0.2579356663,0.9999999947,1349,2.5793566627847166447550427001107368732777848e-1,9.9999999474535263779252963826652089113126567e-1,6.8100800319806754678682673054226746984037022e-6
173,6.731803870820494059e-6,0.250001262219,0.750002103690,3.7139761557,-0.2579356672,0.9999999948,1354,-2.5793566723017728939903449195989021883634902e-1,9.9999999480574990414547484645526450331096579e-1,6.7318038708204943379227580650903178007812026e-6
174,6.654869572640416799e-6,0.250001247794,0.750002079648,3.7139758273,0.2579356682,0.9999999949,1360,2.5793566816556842871599406915163761825446998e-1,9.9999999486511181097901510476274448869374634e-1,6.6548695726404165780974460712700216685388006e-6
175,6.579246640950787955e-6,0.250001233615,0.750002056016,3.7139755045,-0.2579356691,0.9999999949,1365,-2.5793566908501585300958276582181660382731609e-1,9.9999999492346188856631529119179221655129266e-1,6.5792466409507881349824336775918432428516114e-6
176,6.504905440731395594e-6,0.250001219676,0.750002032784,3.7139751872,0.2579356700,0.9999999950,1370,2.5793566998887985956070294984647644311123187e-1,9.9999999498082300250456485315641677962455679e-1,6.5049054407313951959191039971579419601217741e-6
177,6.431817169393688108e-6,0.250001205971,0.750002009944,3.7139748753,-0.2579356709,0.9999999950,1376,-2.5793567087751062536334817277153978468797351e-1,9.9999999503721737611896684595343989232082900e-1,6.4318171693936877783649236970132206911510892e-6
178,6.359953828878535690e-6,0.250001192497,0.750001987487,3.7139745685,0.2579356718,0.9999999951,1381,2.5793567175124854633568614826604967853265083e-1,9.9999999509266661199062962263325645480789794e-1,6.3599538288785358064180997729460315564223235e-6
179,6.289288198839050336e-6,0.250001179247,0.750001965404,3.7139742669,-0.2579356726,0.9999999951,1386,-2.5793567261042456334032287139103058735373218e-1,9.9999999514719171264729703534948916790311260e-1,6.2892881988390507050746355049871091140426308e-6
180,6.219793810860514676e-6,0.250001166217,0.750001943687,3.7139739703,0.2579356735,0.9999999952,1392,2.5793567345536047559673183460888918431648181e-1,9.9999999520081310045391706963729824601911079e-1,6.2197938108605148875902653493128857724294052e-6
181,6.151444923671833177e-6,0.250001153401,0.750001922328,3.7139736785,-0.2579356743,0.9999999953,1397,-2.5793567428636924204000536265349519117199393e-1,9.9999999525355063673821925878385547478214478e-1,6.1514449236718329837791042927301692908675943e-6
182,6.084216499305160502e-6,0.250001140796,0.750001901319,3.7139733916,0.2579356751,0.9999999953,1402,2.5793567510375527115283328102896561295594350e-1,9.9999999530542364018474162241123787759527427e-1,6.0842164993051605443643755248799417678824600e-6
183,6.018084180162486148e-6,0.250001128396,0.750001880652,3.7139731093,-0.2579356759,0.9999999954,1408,-2.5793567590781469977184329432921337919211743e-1,9.9999999535645090452911226540540136677447603e-1,6.0180841801624860053188425543916724248498237e-6
184,5.953024266949946757e-6,0.250001116197,0.750001860321,3.7139728316,0.2579356767,0.9999999954,1413,2.5793567669883566134505953009683781012318273e-1,9.9999999540665071558284357182837198062969457e-1,5.9530242669499471507342387417293356387281186e-6
185,5.889013697442561050e-6,0.250001104195,0.750001840318,3.7139725584,-0.2579356775,0.9999999955,1418,-2.5793567747709854409416833110353814749300727e-1,9.9999999545604086761743290540765240859250892e-1,5.8890136974425609500248091348308745071995284e-6
186,5.826030026043841651e-6,0.250001092385,0.750001820635,3.7139722896,0.2579356782,0.9999999955,1424,2.5793567824287623951344646863269426750296813e-1,9.9999999550463867913517799103840926769551882e-1,5.8260300260438418072177978254285614072850224e-6
187,5.764051404106483806e-6,0.250001080764,0.750001801267,3.7139720250,-0.2579356790,0.9999999956,1429,-2.5793567899643438161653433639443110570604049e-1,9.9999999555246100805280312016391368113025347e-1,5.7640514041064838839336699212588844744530089e-6
188,5.703056560981893772e-6,0.250001069328,0.750001782206,3.7139717647,0.2579356797,0.9999999956,1434,2.5793567973803157732265778546210879620125280e-1,9.9999999559952426632274970741626408966576522e-1,5.7030565609818938036762993558256090734564726e-6
189,5.643024785767885794e-6,0.250001058071,0.750001763446,3.7139715085,-0.2579356805,0.9999999956,1440,-2.5793568046791962835535375953942310536520576e-1,9.9999999564584443401580750790043655936279061e-1,5.6430247857678859223392782016502665753523060e-6
190,5.583935909725297949e-6,0.250001046992,0.750001744981,3.7139712563,0.2579356812,0.9999999957,1445,2.5793568118634374500917744902327095551332363e-1,9.9999999569143707288764721785050183458682133e-1,5.5839359097252983402261293229759956116976195e-6
191,5.525770289335658620e-6,0.250001036086,0.750001726804,3.7139710080,-0.2579356819,0.9999999957,1450,-2.5793568189354275212320667211972621939594492e-1,9.9999999573631733945075769530752282025169729e-1,5.5257702893356585111107663691258430995828960e-6
192,5.468508789973327086e-6,0.250001025349,0.750001708910,3.7139707636,0.2579356826,0.9999999958,1456,2.5793568258974928758436044066327094633998669e-1,9.9999999578049999757228834071116924399525330e-1,5.4685087899733269661058364492416861119077307e-6
193,5.412132770166780258e-6,0.250001014779,0.750001691292,3.7139705230,-0.2579356833,0.9999999958,1461,-2.5793568327518999366856423307111180914973221e-1,9.9999999582399943061734616341631994364101283e-1,5.4121327701667803410485173425461282512982806e-6
194,5.356624066424864465e-6,0.250001004371,0.750001673946,3.7139702860,0.2579356840,0.9999999959,1466,2.5793568395008570151357844454339209585871790e-1,9.9999999586682965315639481385161018059317317e-1,5.3566240664248643546546168002522424379344607e-6
195,5.301964978604956889e-6,0.250000994122,0.750001656865,3.7139700527,-0.2579356846,0.9999999959,1472,-2.5793568461465160900381569468438266401571403e-1,9.9999999590900432225454664551578263861760496e-1,5.3019649786049571783764147040611811755847957e-6
196,5.248138255801036681e-6,0.250000984030,0.750001640044,3.7139698230,0.2579356853,0.9999999960,1477,2.5793568526909745233466665108985327260873880e-1,9.9999999595053674835972611614663961439643905e-1,5.2481382558010370991834712747419368179607464e-6
197,5.195127082730648307e-6,0.250000974090,0.750001623478,3.7139695967,-0.2579356859,0.9999999960,1482,-2.5793568591362767151169473404622064309138352e-1,9.9999999599143990580591112883896001139430129e-1,5.1951270827306486329235472462636618079502048e-6
198,5.142915066600711259e-6,0.250000964300,0.750001607162,3.7139693739,0.2579356865,0.9999999960,1488,2.5793568654844157002851175594700068179459595e-1,9.9999999603172644294692598285589957279219288e-1,5.1429150666007112393559990446171021183296091e-6
199,5.091486224433017093e-6,0.250000954657,0.750001591090,3.7139691543,-0.2579356872,0.9999999961,1493,-2.5793568717373346895617561760657743879932986e-1,9.9999999607140869193556331771623756268502799e-1,5.0914862244330172847797942555433466723007622e-6
200,5.040824970831123795e-6,0.250000945158,0.750001575259,3.7139689381,0.2579356878,0.9999999961,1498,2.5793568778969285566652603652479558967207998e-1,9.9999999611049867816215078750639647690386450e-1,5.0408249708311234937656248625600155295299997e-6
